ds,CO2_emission
2029-06-01,449.99912569668766
2029-07-01,450.2792393840679
2029-08-01,450.5686901943608
2029-09-01,450.8581410046537
2029-10-01,451.13825469203397
2029-11-01,451.4277055023269
2029-12-01,451.7078191897071
2030-01-01,451.99727
2030-02-01,452.3305118510405
2030-03-01,452.63150449069
2030-04-01,452.9647463417306
2030-05-01,453.28723845564076
2030-06-01,453.62048030668126
2030-07-01,453.94297242059145
2030-08-01,454.276214271632
2030-09-01,454.6094561226725
2030-10-01,454.9319482365827
2030-11-01,455.26519008762324
2030-12-01,455.5876822015334
2031-01-01,455.9209240525739
2031-02-01,456.2541659036145
2031-03-01,456.555158543264
2031-04-01,456.8884003943045
2031-05-01,457.21089250821467
2031-06-01,457.5441343592552
2031-07-01,457.8666264731654
2031-08-01,458.1998683242059
2031-09-01,458.53311017524646
2031-10-01,458.85560228915665
2031-11-01,459.18884414019715
2031-12-01,459.51133625410733
2032-01-01,459.8445781051479
2032-02-01,460.1778199561884
2032-03-01,460.48956233296826
2032-04-01,460.82280418400876
2032-05-01,461.14529629791895
2032-06-01,461.4785381489595
2032-07-01,461.8010302628697
2032-08-01,462.1342721139102
2032-09-01,462.46751396495074
2032-10-01,462.7900060788609
2032-11-01,463.1232479299014
2032-12-01,463.4457400438116
2033-01-01,463.77898189485217
2033-02-01,464.11222374589266
2033-03-01,464.41321638554217
2033-04-01,464.7464582365827
2033-05-01,465.0689503504929
2033-06-01,465.4021922015334
2033-07-01,465.7246843154436
2033-08-01,466.05792616648415
2033-09-01,466.39116801752465
2033-10-01,466.71366013143484
2033-11-01,467.0469019824754
2033-12-01,467.3693940963856
2034-01-01,467.7026359474261
2034-02-01,468.03587779846663
2034-03-01,468.33687043811614
2034-04-01,468.67011228915663
2034-05-01,468.9926044030668
2034-06-01,469.3258462541074
2034-07-01,469.64833836801756
2034-08-01,469.98158021905806
2034-09-01,470.3148220700986
2034-10-01,470.6373141840088
2034-11-01,470.9705560350493
2034-12-01,471.2930481489595
2035-01-01,471.62629000000004
2035-02-01,471.95953185104054
2035-03-01,472.26052449069005
2035-04-01,472.5937663417306
2035-05-01,472.91625845564073
2035-06-01,473.2495003066813
2035-07-01,473.57199242059147
2035-08-01,473.90523427163197
2035-09-01,474.2384761226725
2035-10-01,474.5609682365827
2035-11-01,474.8942100876232
2035-12-01,475.2167022015334
2036-01-01,475.54994405257395
2036-02-01,475.88318590361445
2036-03-01,476.1949282803943
2036-04-01,476.5281701314348
2036-05-01,476.850662245345
2036-06-01,477.18390409638556
2036-07-01,477.50639621029575
2036-08-01,477.83963806133625
2036-09-01,478.1728799123768
2036-10-01,478.495372026287
2036-11-01,478.8286138773275
2036-12-01,479.15110599123767
2037-01-01,479.4843478422782
2037-02-01,479.8175896933187
2037-03-01,480.11858233296823
2037-04-01,480.4518241840088
2037-05-01,480.774316297919
2037-06-01,481.10755814895947
2037-07-01,481.43005026286966
2037-08-01,481.7632921139102
2037-09-01,482.0965339649507
2037-10-01,482.4190260788609
2037-11-01,482.75226792990145
2037-12-01,483.07476004381164
2038-01-01,483.40800189485213
2038-02-01,483.7412437458927
2038-03-01,484.0422363855422
2038-04-01,484.3754782365827
2038-05-01,484.6979703504929
2038-06-01,485.03121220153344
2038-07-01,485.3537043154436
2038-08-01,485.6869461664841
2038-09-01,486.0201880175247
2038-10-01,486.34268013143486
2038-11-01,486.67592198247536
2038-12-01,486.99841409638555
2039-01-01,487.3316559474261
2039-02-01,487.6648977984666
2039-03-01,487.9658904381161
2039-04-01,488.29913228915666
2039-05-01,488.62162440306685
2039-06-01,488.95486625410734
2039-07-01,489.27735836801753
2039-08-01,489.6106002190581
2039-09-01,489.9438420700986
2039-10-01,490.26633418400877
2039-11-01,490.5995760350493
2039-12-01,490.9220681489595
2040-01-01,491.25531
2040-02-01,491.6284082808651
2040-03-01,491.9774357049001
2040-04-01,492.35053398576514
2040-05-01,492.7115968382152
2040-06-01,493.0846951190802
2040-07-01,493.44575797153027
2040-08-01,493.8188562523953
2040-09-01,494.19195453326034
2040-10-01,494.5530173857104
2040-11-01,494.9261156665754
2040-12-01,495.2871785190255
2041-01-01,495.6602767998905
2041-02-01,496.03337508075555
2041-03-01,496.3703670763756
2041-04-01,496.7434653572406
2041-05-01,497.10452820969067
2041-06-01,497.47762649055574
2041-07-01,497.83868934300574
2041-08-01,498.2117876238708
2041-09-01,498.5848859047358
2041-10-01,498.9459487571859
2041-11-01,499.31904703805094
2041-12-01,499.68010989050094
2042-01-01,500.053208171366
2042-02-01,500.4263064522311
2042-03-01,500.76329844785107
2042-04-01,501.13639672871614
2042-05-01,501.4974595811662
2042-06-01,501.8705578620312
2042-07-01,502.23162071448127
2042-08-01,502.6047189953463
2042-09-01,502.97781727621134
2042-10-01,503.3388801286614
2042-11-01,503.7119784095264
2042-12-01,504.07304126197647
2043-01-01,504.4461395428415
2043-02-01,504.81923782370654
2043-03-01,505.1562298193266
2043-04-01,505.5293281001916
2043-05-01,505.89039095264167
2043-06-01,506.26348923350673
2043-07-01,506.62455208595674
2043-08-01,506.9976503668218
2043-09-01,507.37074864768687
2043-10-01,507.73181150013687
2043-11-01,508.10490978100194
2043-12-01,508.46597263345194
2044-01-01,508.839070914317
2044-02-01,509.21216919518207
2044-03-01,509.56119661921707
2044-04-01,509.93429490008214
2044-05-01,510.2953577525322
2044-06-01,510.6684560333972
2044-07-01,511.02951888584727
2044-08-01,511.4026171667123
2044-09-01,511.77571544757734
2044-10-01,512.1367783000273
2044-11-01,512.5098765808924
2044-12-01,512.8709394333424
2045-01-01,513.2440377142075
2045-02-01,513.6171359950725
2045-03-01,513.9541279906925
2045-04-01,514.3272262715576
2045-05-01,514.6882891240077
2045-06-01,515.0613874048727
2045-07-01,515.4224502573228
2045-08-01,515.7955485381877
2045-09-01,516.1686468190528
2045-10-01,516.5297096715029
2045-11-01,516.9028079523679
2045-12-01,517.263870804818
2046-01-01,517.636969085683
2046-02-01,518.010067366548
2046-03-01,518.3470593621681
2046-04-01,518.7201576430331
2046-05-01,519.0812204954832
2046-06-01,519.4543187763483
2046-07-01,519.8153816287983
2046-08-01,520.1884799096633
2046-09-01,520.5615781905283
2046-10-01,520.9226410429784
2046-11-01,521.2957393238435
2046-12-01,521.6568021762935
2047-01-01,522.0299004571585
2047-02-01,522.4029987380236
2047-03-01,522.7399907336436
2047-04-01,523.1130890145087
2047-05-01,523.4741518669587
2047-06-01,523.8472501478237
2047-07-01,524.2083130002737
2047-08-01,524.5814112811388
2047-09-01,524.9545095620039
2047-10-01,525.3155724144539
2047-11-01,525.6886706953189
2047-12-01,526.0497335477689
2048-01-01,526.422831828634
2048-02-01,526.7959301094991
2048-03-01,527.1449575335341
2048-04-01,527.5180558143991
2048-05-01,527.8791186668492
2048-06-01,528.2522169477143
2048-07-01,528.6132798001643
2048-08-01,528.9863780810293
2048-09-01,529.3594763618943
2048-10-01,529.7205392143444
2048-11-01,530.0936374952095
2048-12-01,530.4547003476595
2049-01-01,530.8277986285245
2049-02-01,531.2008969093896
2049-03-01,531.5378889050096
2049-04-01,531.9109871858747
2049-05-01,532.2720500383247
2049-06-01,532.6451483191897
2049-07-01,533.0062111716397
2049-08-01,533.3793094525048
2049-09-01,533.7524077333699
2049-10-01,534.1134705858199
2049-11-01,534.4865688666849
2049-12-01,534.8476317191349
2050-01-01,535.22073
2050-02-01,535.6321809802848
2050-03-01,536.0038141237678
2050-04-01,536.4152651040525
2050-05-01,536.81344347207
2050-06-01,537.2248944523549
2050-07-01,537.6230728203724
2050-08-01,538.0345238006572
2050-09-01,538.4459747809419
2050-10-01,538.8441531489594
2050-11-01,539.2556041292443
2050-12-01,539.6537824972618
2051-01-01,540.0652334775466
2051-02-01,540.4766844578313
2051-03-01,540.8483176013143
2051-04-01,541.2597685815991
2051-05-01,541.6579469496166
2051-06-01,542.0693979299015
2051-07-01,542.467576297919
2051-08-01,542.8790272782037
2051-09-01,543.2904782584885
2051-10-01,543.688656626506
2051-11-01,544.1001076067909
2051-12-01,544.4982859748084
2052-01-01,544.9097369550931
2052-02-01,545.3211879353779
2052-03-01,545.7060936911281
2052-04-01,546.1175446714129
2052-05-01,546.5157230394304
2052-06-01,546.9271740197153
2052-07-01,547.3253523877328
2052-08-01,547.7368033680175
2052-09-01,548.1482543483023
2052-10-01,548.5464327163198
2052-11-01,548.9578836966047
2052-12-01,549.3560620646222
2053-01-01,549.7675130449069
2053-02-01,550.1789640251917
2053-03-01,550.5505971686747
2053-04-01,550.9620481489595
2053-05-01,551.360226516977
2053-06-01,551.7716774972617
2053-07-01,552.1698558652793
2053-08-01,552.5813068455641
2053-09-01,552.9927578258489
2053-10-01,553.3909361938664
2053-11-01,553.8023871741511
2053-12-01,554.2005655421686
2054-01-01,554.6120165224535
2054-02-01,555.0234675027382
2054-03-01,555.3951006462213
2054-04-01,555.806551626506
2054-05-01,556.2047299945235
2054-06-01,556.6161809748083
2054-07-01,557.0143593428259
2054-08-01,557.4258103231107
2054-09-01,557.8372613033954
2054-10-01,558.2354396714129
2054-11-01,558.6468906516977
2054-12-01,559.0450690197152
2055-01-01,559.4565200000001
2055-02-01,559.8679709802848
2055-03-01,560.2396041237678
2055-04-01,560.6510551040526
2055-05-01,561.0492334720701
2055-06-01,561.4606844523549
2055-07-01,561.8588628203725
2055-08-01,562.2703138006572
2055-09-01,562.681764780942
2055-10-01,563.0799431489595
2055-11-01,563.4913941292442
2055-12-01,563.8895724972618
2056-01-01,564.3010234775466
2056-02-01,564.7124744578314
2056-03-01,565.0973802135816
2056-04-01,565.5088311938664
2056-05-01,565.9070095618839
2056-06-01,566.3184605421687
2056-07-01,566.7166389101862
2056-08-01,567.128089890471
2056-09-01,567.5395408707558
2056-10-01,567.9377192387733
2056-11-01,568.3491702190581
2056-12-01,568.7473485870756
2057-01-01,569.1587995673603
2057-02-01,569.5702505476452
2057-03-01,569.9418836911282
2057-04-01,570.353334671413
2057-05-01,570.7515130394305
2057-06-01,571.1629640197152
2057-07-01,571.5611423877327
2057-08-01,571.9725933680176
2057-09-01,572.3840443483023
2057-10-01,572.7822227163199
2057-11-01,573.1936736966046
2057-12-01,573.5918520646221
2058-01-01,574.0033030449069
2058-02-01,574.4147540251917
2058-03-01,574.7863871686748
2058-04-01,575.1978381489595
2058-05-01,575.596016516977
2058-06-01,576.0074674972618
2058-07-01,576.4056458652793
2058-08-01,576.8170968455642
2058-09-01,577.2285478258489
2058-10-01,577.6267261938664
2058-11-01,578.0381771741512
2058-12-01,578.4363555421687
2059-01-01,578.8478065224534
2059-02-01,579.2592575027383
2059-03-01,579.6308906462212
2059-04-01,580.0423416265061
2059-05-01,580.4405199945236
2059-06-01,580.8519709748083
2059-07-01,581.2501493428259
2059-08-01,581.6616003231106
2059-09-01,582.0730513033955
2059-10-01,582.471229671413
2059-11-01,582.8826806516977
2059-12-01,583.2808590197152
2060-01-01,583.69231
2060-02-01,584.1441963974816
2060-03-01,584.5669288338353
2060-04-01,585.0188152313167
2060-05-01,585.4561246482343
2060-06-01,585.9080110457159
2060-07-01,586.3453204626335
2060-08-01,586.797206860115
2060-09-01,587.2490932575965
2060-10-01,587.6864026745142
2060-11-01,588.1382890719956
2060-12-01,588.5755984889132
2061-01-01,589.0274848863947
2061-02-01,589.4793712838763
2061-03-01,589.887526739666
2061-04-01,590.3394131371475
2061-05-01,590.7767225540651
2061-06-01,591.2286089515467
2061-07-01,591.6659183684643
2061-08-01,592.1178047659458
2061-09-01,592.5696911634274
2061-10-01,593.0070005803449
2061-11-01,593.4588869778264
2061-12-01,593.896196394744
2062-01-01,594.3480827922256
2062-02-01,594.7999691897071
2062-03-01,595.2081246454968
2062-04-01,595.6600110429783
2062-05-01,596.097320459896
2062-06-01,596.5492068573775
2062-07-01,596.9865162742951
2062-08-01,597.4384026717767
2062-09-01,597.8902890692582
2062-10-01,598.3275984861757
2062-11-01,598.7794848836572
2062-12-01,599.2167943005749
2063-01-01,599.6686806980564
2063-02-01,600.1205670955379
2063-03-01,600.5287225513276
2063-04-01,600.9806089488092
2063-05-01,601.4179183657268
2063-06-01,601.8698047632083
2063-07-01,602.307114180126
2063-08-01,602.7590005776075
2063-09-01,603.210886975089
2063-10-01,603.6481963920065
2063-11-01,604.100082789488
2063-12-01,604.5373922064057
2064-01-01,604.9892786038872
2064-02-01,605.4411650013687
2064-03-01,605.8638974377224
2064-04-01,606.3157838352039
2064-05-01,606.7530932521215
2064-06-01,607.204979649603
2064-07-01,607.6422890665207
2064-08-01,608.0941754640022
2064-09-01,608.5460618614837
2064-10-01,608.9833712784013
2064-11-01,609.4352576758828
2064-12-01,609.8725670928004
2065-01-01,610.3244534902819
2065-02-01,610.7763398877635
2065-03-01,611.1844953435532
2065-04-01,611.6363817410347
2065-05-01,612.0736911579523
2065-06-01,612.5255775554339
2065-07-01,612.9628869723515
2065-08-01,613.414773369833
2065-09-01,613.8666597673146
2065-10-01,614.3039691842321
2065-11-01,614.7558555817136
2065-12-01,615.1931649986312
2066-01-01,615.6450513961128
2066-02-01,616.0969377935943
2066-03-01,616.505093249384
2066-04-01,616.9569796468655
2066-05-01,617.3942890637832
2066-06-01,617.8461754612647
2066-07-01,618.2834848781823
2066-08-01,618.7353712756639
2066-09-01,619.1872576731454
2066-10-01,619.6245670900629
2066-11-01,620.0764534875444
2066-12-01,620.513762904462
2067-01-01,620.9656493019436
2067-02-01,621.4175356994251
2067-03-01,621.8256911552148
2067-04-01,622.2775775526964
2067-05-01,622.714886969614
2067-06-01,623.1667733670955
2067-07-01,623.6040827840131
2067-08-01,624.0559691814947
2067-09-01,624.5078555789762
2067-10-01,624.9451649958937
