ds,Population
1999-01-01,6067758600.0
1999-02-01,6074649976.438356
1999-03-01,6080874445.479452
1999-04-01,6087765821.917809
1999-05-01,6094434895.890411
1999-06-01,6101326272.328767
1999-07-01,6107995346.30137
1999-08-01,6114886722.739726
1999-09-01,6121778099.178082
1999-10-01,6128447173.150685
1999-11-01,6135338549.589041
1999-12-01,6142007623.561644
2000-01-01,6148899000.0
2000-02-01,6155831480.874317
2000-03-01,6162316704.918033
2000-04-01,6169249185.79235
2000-05-01,6175958038.251366
2000-06-01,6182890519.125683
2000-07-01,6189599371.5847
2000-08-01,6196531852.459017
2000-09-01,6203464333.333333
2000-10-01,6210173185.79235
2000-11-01,6217105666.666667
2000-12-01,6223814519.125683
2001-01-01,6230747000.0
2001-02-01,6237682557.808219
2001-03-01,6243946932.602739
2001-04-01,6250882490.410959
2001-05-01,6257594320.547945
2001-06-01,6264529878.356164
2001-07-01,6271241708.493151
2001-08-01,6278177266.30137
2001-09-01,6285112824.109589
2001-10-01,6291824654.246575
2001-11-01,6298760212.054794
2001-12-01,6305472042.191781
2002-01-01,6312407600.0
2002-02-01,6319328744.931507
2002-03-01,6325580101.643836
2002-04-01,6332501246.575342
2002-05-01,6339199128.767123
2002-06-01,6346120273.69863
2002-07-01,6352818155.890411
2002-08-01,6359739300.821918
2002-09-01,6366660445.753425
2002-10-01,6373358327.945206
2002-11-01,6380279472.876713
2002-12-01,6386977355.068493
2003-01-01,6393898500.0
2003-02-01,6400850390.136987
2003-03-01,6407129516.712329
2003-04-01,6414081406.849315
2003-05-01,6420809042.465754
2003-06-01,6427760932.602739
2003-07-01,6434488568.219178
2003-08-01,6441440458.356164
2003-09-01,6448392348.493151
2003-10-01,6455119984.109589
2003-11-01,6462071874.246575
2003-12-01,6468799509.863013
2004-01-01,6475751400.0
2004-02-01,6482732718.579235
2004-03-01,6489263629.508197
2004-04-01,6496244948.087432
2004-05-01,6503001062.84153
2004-06-01,6509982381.420765
2004-07-01,6516738496.174864
2004-08-01,6523719814.754098
2004-09-01,6530701133.333333
2004-10-01,6537457248.087432
2004-11-01,6544438566.666667
2004-12-01,6551194681.420765
2005-01-01,6558176000.0
2005-02-01,6565245698.630137
2005-03-01,6571631232.876713
2005-04-01,6578700931.506849
2005-05-01,6585542575.342465
2005-06-01,6592612273.972603
2005-07-01,6599453917.808219
2005-08-01,6606523616.438356
2005-09-01,6613593315.068493
2005-10-01,6620434958.90411
2005-11-01,6627504657.534246
2005-12-01,6634346301.369863
2006-01-01,6641416000.0
2006-02-01,6648595464.109589
2006-03-01,6655080141.369863
2006-04-01,6662259605.479452
2006-05-01,6669207473.972603
2006-06-01,6676386938.082191
2006-07-01,6683334806.575342
2006-08-01,6690514270.684932
2006-09-01,6697693734.79452
2006-10-01,6704641603.287671
2006-11-01,6711821067.397261
2006-12-01,6718768935.890411
2007-01-01,6725948400.0
2007-02-01,6733222690.136987
2007-03-01,6739793016.712329
2007-04-01,6747067306.849315
2007-05-01,6754106942.465754
2007-06-01,6761381232.602739
2007-07-01,6768420868.219178
2007-08-01,6775695158.356164
2007-09-01,6782969448.493151
2007-10-01,6790009084.109589
2007-11-01,6797283374.246575
2007-12-01,6804323009.863013
2008-01-01,6811597300.0
2008-02-01,6818941479.508197
2008-03-01,6825811840.983606
2008-04-01,6833156020.491803
2008-05-01,6840263290.983606
2008-06-01,6847607470.491803
2008-07-01,6854714740.983606
2008-08-01,6862058920.491803
2008-09-01,6869403100.0
2008-10-01,6876510370.491803
2008-11-01,6883854550.0
2008-12-01,6890961820.491803
2009-01-01,6898306000.0
2009-02-01,6905720265.753425
2009-03-01,6912417021.917809
2009-04-01,6919831287.671233
2009-05-01,6927006383.561644
2009-06-01,6934420649.315068
2009-07-01,6941595745.20548
2009-08-01,6949010010.958904
2009-09-01,6956424276.712329
2009-10-01,6963599372.602739
2009-11-01,6971013638.356164
2009-12-01,6978188734.246575
2010-01-01,6985603000.0
2010-02-01,6993036409.315068
2010-03-01,6999750456.438356
2010-04-01,7007183865.753425
2010-05-01,7014377487.671233
2010-06-01,7021810896.986301
2010-07-01,7029004518.90411
2010-08-01,7036437928.219178
2010-09-01,7043871337.534246
2010-10-01,7051064959.452055
2010-11-01,7058498368.767123
2010-12-01,7065691990.684932
2011-01-01,7073125400.0
2011-02-01,7080648004.383562
2011-03-01,7087442614.79452
2011-04-01,7094965219.178082
2011-05-01,7102245158.90411
2011-06-01,7109767763.287671
2011-07-01,7117047703.013699
2011-08-01,7124570307.397261
2011-09-01,7132092911.780822
2011-10-01,7139372851.506849
2011-11-01,7146895455.890411
2011-12-01,7154175395.616438
2012-01-01,7161698000.0
2012-02-01,7169227383.333333
2012-03-01,7176271000.0
2012-04-01,7183800383.333333
2012-05-01,7191086883.333333
