ds,Consumption
1992-02-01,99753.12100841528
1992-03-01,99792.61626493605
1992-04-01,99834.83533225136
1992-05-01,99875.69249416939
1992-06-01,99917.9115614847
1992-07-01,99958.76872340273
1992-08-01,100000.98779071802
1992-09-01,100043.20685803333
1992-10-01,100084.06401995136
1992-11-01,100126.28308726665
1992-12-01,100167.1402491847
1993-01-01,100209.35931649999
1993-02-01,100315.777723523
1993-03-01,100411.89757502766
1993-04-01,100518.31598205068
1993-05-01,100621.30153723423
1993-06-01,100727.71994425726
1993-07-01,100830.70549944081
1993-08-01,100937.12390646384
1993-09-01,101043.54231348685
1993-10-01,101146.52786867041
1993-11-01,101252.94627569342
1993-12-01,101355.93183087699
1994-01-01,101462.3502379
1994-02-01,101627.73153130729
1994-03-01,101777.10818341709
1994-04-01,101942.48947682438
1994-05-01,102102.53588979918
1994-06-01,102267.91718320646
1994-07-01,102427.96359618126
1994-08-01,102593.34488958855
1994-09-01,102758.72618299583
1994-10-01,102918.77259597063
1994-11-01,103084.15388937792
1994-12-01,103244.2003023527
1995-01-01,103409.58159576
1995-02-01,103647.76930209206
1995-03-01,103862.90658523068
1995-04-01,104101.09429156274
1995-05-01,104331.59852349698
1995-06-01,104569.78622982904
1995-07-01,104800.29046176329
1995-08-01,105038.47816809535
1995-09-01,105276.66587442739
1995-10-01,105507.17010636163
1995-11-01,105745.35781269369
1995-12-01,105975.86204462794
1996-01-01,106214.04975096
1996-02-01,106309.90514832623
1996-03-01,106399.57632650754
1996-04-01,106495.43172387377
1996-05-01,106588.19501164753
1996-06-01,106684.05040901377
1996-07-01,106776.81369678753
1996-08-01,106872.66909415377
1996-09-01,106968.52449152
1996-10-01,107061.28777929377
1996-11-01,107157.14317666
1996-12-01,107249.90646443376
1997-01-01,107345.7618618
1997-02-01,107402.72523151561
1997-03-01,107454.1760170652
1997-04-01,107511.13938678082
1997-05-01,107566.26522844109
1997-06-01,107623.22859815671
1997-07-01,107678.35443981698
1997-08-01,107735.3178095326
1997-09-01,107792.28117924821
1997-10-01,107847.40702090849
1997-11-01,107904.3703906241
1997-12-01,107959.49623228438
1998-01-01,108016.45960199999
1998-02-01,108169.04671011204
1998-03-01,108306.86732389068
1998-04-01,108459.45443200273
1998-05-01,108607.11937533697
1998-06-01,108759.70648344903
1998-07-01,108907.37142678328
1998-08-01,109059.95853489534
1998-09-01,109212.5456430074
1998-10-01,109360.21058634164
1998-11-01,109512.7976944537
1998-12-01,109660.46263778795
1999-01-01,109813.0497459
1999-02-01,110039.94892080493
1999-03-01,110244.89011104165
1999-04-01,110471.78928594658
1999-05-01,110691.36913262877
1999-06-01,110918.2683075337
1999-07-01,111137.84815421588
1999-08-01,111364.74732912082
1999-09-01,111591.64650402575
1999-10-01,111811.22635070795
1999-11-01,112038.12552561288
1999-12-01,112257.70537229507
2000-01-01,112484.6045472
2000-02-01,112583.69295094372
2000-03-01,112676.3885544459
2000-04-01,112775.47695818963
2000-05-01,112871.36896181256
2000-06-01,112970.45736555629
2000-07-01,113066.34936917924
2000-08-01,113165.43777292296
2000-09-01,113264.52617666668
2000-10-01,113360.41818028963
2000-11-01,113459.50658403334
2000-12-01,113555.3985876563
2001-01-01,113654.48699140002
2001-02-01,113843.61439482248
2001-03-01,114014.43914630084
2001-04-01,114203.5665497233
2001-05-01,114386.59306916439
2001-06-01,114575.72047258685
2001-07-01,114758.74699202795
2001-08-01,114947.87439545042
2001-09-01,115137.00179887288
2001-10-01,115320.02831831397
2001-11-01,115509.15572173645
2001-12-01,115692.18224117754
2002-01-01,115881.3096446
2002-02-01,116226.32852845863
2002-03-01,116537.95848807288
2002-04-01,116882.97737193151
2002-05-01,117216.86661437534
2002-06-01,117561.88549823397
2002-07-01,117895.7747406778
2002-08-01,118240.79362453644
2002-09-01,118585.81250839507
2002-10-01,118919.7017508389
2002-11-01,119264.72063469753
2002-12-01,119598.60987714137
2003-01-01,119943.628761
2003-02-01,120378.79067902383
2003-03-01,120771.84015336794
2003-04-01,121207.00207139178
2003-05-01,121628.12650818903
2003-06-01,122063.28842621286
2003-07-01,122484.41286301012
2003-08-01,122919.57478103395
2003-09-01,123354.73669905779
2003-10-01,123775.86113585506
2003-11-01,124211.02305387889
2003-12-01,124632.14749067614
2004-01-01,125067.30940869998
2004-02-01,125389.91134814615
2004-03-01,125691.70025924097
2004-04-01,126014.30219868715
2004-05-01,126326.49762395764
2004-06-01,126649.09956340381
2004-07-01,126961.2949886743
