year,month,Monthly Anamoly,Monthly Unc.,city_num,DateTime
1856,10,12.796999999999999,1.463,0,1856-10-01
1856,11,6.248,1.996,0,1856-11-01
1856,12,-0.41899999999999993,1.845,0,1856-12-01
1857,1,-4.733,1.491,0,1857-01-01
1857,2,-1.472,1.964,0,1857-02-01
1857,3,3.3850000000000002,1.404,0,1857-03-01
1857,4,10.587000000000002,1.968,0,1857-04-01
1857,5,14.052999999999999,1.244,0,1857-05-01
1857,6,20.03,1.941,0,1857-06-01
1857,7,23.802,1.542,0,1857-07-01
1857,8,23.851,1.381,0,1857-08-01
1857,9,19.539,1.241,0,1857-09-01
1857,10,13.424999999999999,1.76,0,1857-10-01
1857,11,5.878,0.732,0,1857-11-01
1857,12,-0.7729999999999999,0.868,0,1857-12-01
1858,1,-3.2199999999999998,1.665,0,1858-01-01
1858,2,-0.925,1.396,0,1858-02-01
1858,3,3.107,1.0,0,1858-03-01
1858,4,10.569,1.435,0,1858-04-01
1858,5,15.799,0.948,0,1858-05-01
1858,6,19.784,1.345,0,1858-06-01
1858,7,23.858,0.929,0,1858-07-01
1858,8,23.197,1.222,0,1858-08-01
1858,9,20.338,1.518,0,1858-09-01
1858,10,13.318999999999999,1.018,0,1858-10-01
1858,11,5.809,1.709,0,1858-11-01
1858,12,-1.924,1.531,0,1858-12-01
1859,1,-4.3,1.57,0,1859-01-01
1859,2,-2.989,1.396,0,1859-02-01
1859,3,3.5740000000000003,1.515,0,1859-03-01
1859,4,11.835,1.924,0,1859-04-01
1859,5,16.168,1.21,0,1859-05-01
1859,6,20.823999999999998,1.234,0,1859-06-01
1859,7,23.103,1.223,0,1859-07-01
1859,8,23.615000000000002,1.072,0,1859-08-01
1859,9,19.565,1.068,0,1859-09-01
1859,10,13.026,1.275,0,1859-10-01
1859,11,5.774,1.626,0,1859-11-01
1859,12,-1.1360000000000001,2.289,0,1859-12-01
1860,1,-5.478,1.078,0,1860-01-01
1860,2,-2.414,1.214,0,1860-02-01
1860,3,0.488,2.596,0,1860-03-01
